epoch,loss,precision,recall,f1,mean_iou
5,0.8699032709378154,0.38629012400848206,0.66855292933835,0.4745080282272745,0.06479329295346842
10,0.8015257706161306,0.5283343789083093,0.7345606311385969,0.592323771409453,0.0732977822806467
15,0.7434978470081041,0.5682914858992367,0.7442764183992071,0.621204908179447,0.07859053670921747
20,0.7137580884604895,0.6224614459968464,0.7437934062591082,0.6556804158433082,0.08240895981297773
25,0.6980267209666116,0.5896825827029009,0.73750184966844,0.6342990307677383,0.08071783026132513
